nm0000002 | Lauren Bacall
nm0000025 | Jerry Goldsmith
nm0000047 | Sophia Loren
nm0000073 | Shirley Temple
nm0000093 | Brad Pitt
nm0000096 | Gillian Anderson
nm0000097 | Pamela Anderson
nm0000098 | Jennifer Aniston
nm0000099 | Patricia Arquette
nm0000102 | Kevin Bacon
nm0000103 | Fairuza Balk
nm0000104 | Antonio Banderas
nm0000106 | Drew Barrymore
nm0000111 | Matthew Broderick
nm0000112 | Pierce Brosnan
nm0000113 | Sandra Bullock
nm0000115 | Nicolas Cage
nm0000117 | Neve Campbell
nm0000120 | Jim Carrey
nm0000123 | George Clooney
nm0000126 | Kevin Costner
nm0000128 | Russell Crowe
nm0000129 | Tom Cruise
nm0000130 | Jamie Lee Curtis
nm0000131 | John Cusack
nm0000134 | Robert De Niro
nm0000138 | Leonardo DiCaprio
nm0000140 | Michael Douglas
nm0000142 | Clint Eastwood
nm0000144 | Cary Elwes
nm0000147 | Colin Firth
nm0000149 | Jodie Foster
nm0000150 | Michael J. Fox
nm0000151 | Morgan Freeman
nm0000152 | Richard Gere
nm0000155 | Whoopi Goldberg
nm0000158 | Tom Hanks
nm0000160 | Ethan Hawke
nm0000163 | Dustin Hoffman
nm0000165 | Ron Howard
nm0000173 | Nicole Kidman
nm0000177 | Kevin Kline
nm0000178 | Diane Lane
nm0000189 | Jenny McCarthy
nm0000193 | Demi Moore
nm0000196 | Mike Myers
nm0000197 | Jack Nicholson
nm0000198 | Gary Oldman
nm0000200 | Bill Paxton
nm0000201 | Michelle Pfeiffer
nm0000207 | Christina Ricci
nm0000209 | Tim Robbins
nm0000210 | Julia Roberts
nm0000216 | Arnold Schwarzenegger
nm0000222 | Brooke Shields
nm0000223 | Elisabeth Shue
nm0000225 | Christian Slater
nm0000234 | Charlize Theron
nm0000235 | Uma Thurman
nm0000237 | John Travolta
nm0000239 | Liv Tyler
nm0000242 | Mark Wahlberg
nm0000244 | Sigourney Weaver
nm0000245 | Robin Williams
nm0000246 | Bruce Willis
nm0000250 | Renée Zellweger
nm0000254 | Isabelle Adjani
nm0000255 | Ben Affleck
nm0000257 | Alan Alda
nm0000260 | Joan Allen
nm0000261 | Karen Allen
nm0000263 | Kirstie Alley
nm0000267 | Julie Andrews
nm0000274 | David Arquette
nm0000276 | Sean Astin
nm0000279 | Hank Azaria
nm0000285 | Alec Baldwin
nm0000287 | William Baldwin
nm0000288 | Christian Bale
nm0000289 | Ellen Barkin
nm0000295 | Kate Beckinsale
nm0000298 | Candice Bergen
nm0000300 | Juliette Binoche
nm0000307 | Helena Bonham Carter
nm0000310 | Bruce Boxleitner
nm0000312 | Amy Brenneman
nm0000313 | Jeff Bridges
nm0000316 | Mel Brooks
nm0000318 | Tim Burton
nm0000321 | Gabriel Byrne
nm0000329 | Jackie Chan
nm0000330 | Stockard Channing
nm0000332 | Don Cheadle
nm0000335 | Glenn Close
nm0000343 | David Cronenberg
nm0000345 | Billy Crystal
nm0000348 | Tony Curtis
nm0000353 | Willem Dafoe
nm0000357 | Lolita Davidovich
nm0000368 | Laura Dern
nm0000369 | Matt Dillon
nm0000376 | Fran Drescher
nm0000378 | Minnie Driver
nm0000382 | Atom Egoyan
nm0000390 | Joe Eszterhas
nm0000397 | Corey Feldman
nm0000400 | Linda Fiorentino
nm0000401 | Laurence Fishburne
nm0000403 | Bridget Fonda
nm0000404 | Jane Fonda
nm0000407 | Vivica A. Fox
nm0000409 | Brendan Fraser
nm0000412 | Andy Garcia
nm0000415 | Jami Gertz
nm0000422 | John Goodman
nm0000430 | Steve Guttenberg
nm0000435 | Daryl Hannah
nm0000436 | Curtis Hanson
nm0000438 | Ed Harris
nm0000443 | Goldie Hawn
nm0000447 | Marilu Henner
nm0000455 | John Hughes
nm0000459 | Timothy Hutton
nm0000473 | Diane Keaton
nm0000474 | Michael Keaton
nm0000484 | John Landis
nm0000492 | Jennifer Jason Leigh
nm0000496 | Juliette Lewis
nm0000510 | Andie MacDowell
nm0000518 | John Malkovich
nm0000524 | Mary Stuart Masterson
nm0000545 | Helen Mirren
nm0000549 | Roger Moore
nm0000563 | Chris O'Donnell
nm0000571 | Mary-Louise Parker
nm0000572 | Sarah Jessica Parker
nm0000574 | Jason Patric
nm0000576 | Sean Penn
nm0000586 | Jada Pinkett Smith
nm0000593 | Kelly Preston
nm0000599 | Kathleen Quinlan
nm0000601 | Harold Ramis
nm0000605 | Brad Renfro
nm0000612 | Denise Richards
nm0000620 | Mickey Rourke
nm0000625 | Fred Savage
nm0000626 | John Sayles
nm0000640 | Martin Sheen
nm0000641 | Gary Sinise
nm0000657 | David Strathairn
nm0000658 | Meryl Streep
